epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,758.885,1.77501,7.48011,0.92365,0.49084,0.22743,0.22635,0.1254,1.61731,1.63433,0.91308,0.000302535,0.000302535,0.000302535
2,1611.33,1.62385,1.64418,0.90978,0.51158,0.30468,0.27584,0.15207,1.55695,1.31567,0.91871,0.00059954,0.00059954,0.00059954
3,2501.78,1.5892,1.42339,0.89974,0.54938,0.31764,0.29598,0.16529,1.47875,1.21039,0.90734,0.000890546,0.000890546,0.000890546
4,3262.7,1.56032,1.30846,0.88711,0.60213,0.35279,0.33916,0.19293,1.45015,1.11908,0.91316,0.000882003,0.000882003,0.000882003
5,3963.77,1.48923,1.21179,0.88113,0.56045,0.33168,0.32414,0.18852,1.46586,1.15295,0.89483,0.000873004,0.000873004,0.000873004
6,4734.65,1.46251,1.18136,0.87546,0.6633,0.35979,0.38842,0.23914,1.37303,0.9844,0.89917,0.000864004,0.000864004,0.000864004
7,5619.21,1.47718,1.19284,0.87757,0.581,0.36002,0.36857,0.21914,1.39862,1.09207,0.88644,0.000855005,0.000855005,0.000855005
8,6503.02,1.41838,1.13392,0.87124,0.67825,0.36511,0.39143,0.24173,1.37138,1.02013,0.89181,0.000846006,0.000846006,0.000846006
9,7386.83,1.38934,1.07783,0.86655,0.59811,0.40159,0.40192,0.25113,1.31018,0.96025,0.8841,0.000837007,0.000837007,0.000837007
10,8208.44,1.39003,1.03305,0.86378,0.66018,0.37552,0.39832,0.24733,1.37131,0.96342,0.89013,0.000828008,0.000828008,0.000828008
11,8947.87,1.37582,1.02071,0.86448,0.68441,0.36683,0.4235,0.26512,1.32316,0.89486,0.87731,0.000819009,0.000819009,0.000819009
12,9688.37,1.35398,1.00777,0.85933,0.61016,0.40591,0.43338,0.27519,1.28896,0.91392,0.8768,0.00081001,0.00081001,0.00081001
13,10579.8,1.31187,0.97894,0.85678,0.70993,0.3849,0.42556,0.2591,1.31371,0.89273,0.89086,0.000801011,0.000801011,0.000801011
14,11382.3,1.37614,0.99209,0.86046,0.69298,0.37988,0.43055,0.26869,1.29177,0.91057,0.87978,0.000792012,0.000792012,0.000792012
15,12274.9,1.30072,0.94154,0.86025,0.7116,0.39282,0.43987,0.27638,1.27731,0.86548,0.88054,0.000783013,0.000783013,0.000783013
16,13178.2,1.29297,0.918,0.8501,0.73937,0.38995,0.45593,0.29913,1.24156,0.85076,0.88276,0.000774013,0.000774013,0.000774013
17,13966.8,1.2966,0.92129,0.85184,0.7732,0.38329,0.44853,0.28012,1.2792,0.86126,0.87082,0.000765014,0.000765014,0.000765014
18,14840.9,1.32329,0.93103,0.86032,0.72847,0.41505,0.46984,0.29042,1.28488,0.82916,0.87711,0.000756015,0.000756015,0.000756015
19,15593,1.28157,0.91704,0.84671,0.72121,0.40211,0.4597,0.29238,1.25685,0.82935,0.87411,0.000747016,0.000747016,0.000747016
20,16390.8,1.26841,0.89971,0.84304,0.68109,0.4089,0.46177,0.29436,1.22352,0.83312,0.87032,0.000738017,0.000738017,0.000738017
21,17169.9,1.25482,0.86164,0.84967,0.68152,0.4242,0.47173,0.29833,1.22341,0.79976,0.87343,0.000729018,0.000729018,0.000729018
