epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.794,1.58121,11.6413,0.93248,0.44408,0.26755,0.2636,0.15875,1.38324,1.25942,0.8869,0.000301141,0.000301141,0.000301141
2,78.9866,1.41853,1.36743,0.89184,0.54508,0.31412,0.3103,0.1855,1.39922,1.08551,0.89104,0.00059816,0.00059816,0.00059816
3,116.749,1.42553,1.20407,0.89675,0.60969,0.31289,0.34527,0.20174,1.36187,1.04851,0.88558,0.00088918,0.00088918,0.00088918
4,154.777,1.37765,1.0874,0.88494,0.6874,0.34529,0.38235,0.22395,1.35294,0.97316,0.88551,0.000882003,0.000882003,0.000882003
5,194.252,1.35205,1.03139,0.88318,0.62854,0.37258,0.39963,0.2369,1.36923,0.9592,0.8863,0.000873004,0.000873004,0.000873004
6,233.781,1.31356,0.94976,0.86878,0.65608,0.35699,0.39643,0.23904,1.33946,0.97581,0.89469,0.000864004,0.000864004,0.000864004
7,272.222,1.28005,0.92885,0.86288,0.72189,0.36395,0.41262,0.25108,1.26726,0.85857,0.86751,0.000855005,0.000855005,0.000855005
8,312.167,1.26354,0.94653,0.86646,0.63366,0.37638,0.41384,0.25538,1.27628,0.89409,0.87875,0.000846006,0.000846006,0.000846006
9,351.425,1.24378,0.89845,0.86494,0.6603,0.391,0.42335,0.26063,1.25891,0.89109,0.87068,0.000837007,0.000837007,0.000837007
10,389.888,1.2347,0.86512,0.86118,0.73164,0.3986,0.44677,0.27611,1.23315,0.81231,0.86978,0.000828008,0.000828008,0.000828008
11,429.575,1.22308,0.8531,0.8502,0.71951,0.38292,0.43203,0.27181,1.20782,0.85572,0.86873,0.000819009,0.000819009,0.000819009
12,466.87,1.18524,0.83539,0.86074,0.72757,0.40518,0.4431,0.2775,1.26678,0.83654,0.87196,0.00081001,0.00081001,0.00081001
13,506.35,1.23102,0.81872,0.86337,0.7899,0.3769,0.45388,0.28133,1.22418,0.78472,0.87536,0.000801011,0.000801011,0.000801011
14,546.914,1.20494,0.80055,0.85932,0.69928,0.41126,0.44765,0.27054,1.25234,0.80253,0.87509,0.000792012,0.000792012,0.000792012
15,586.199,1.18345,0.79702,0.85631,0.72725,0.38924,0.43567,0.2738,1.18119,0.82212,0.86722,0.000783013,0.000783013,0.000783013
16,623.309,1.16757,0.78849,0.85197,0.75267,0.40626,0.45981,0.28773,1.19927,0.77695,0.86954,0.000774013,0.000774013,0.000774013
17,660.156,1.16639,0.77572,0.85859,0.73066,0.43476,0.4754,0.29916,1.16702,0.75645,0.86517,0.000765014,0.000765014,0.000765014
18,697.107,1.15238,0.74534,0.84617,0.77822,0.4295,0.47859,0.29602,1.18012,0.73947,0.86533,0.000756015,0.000756015,0.000756015
19,734.757,1.13965,0.74082,0.84547,0.76916,0.42561,0.4771,0.29652,1.18508,0.73286,0.86089,0.000747016,0.000747016,0.000747016
20,772.311,1.13238,0.74702,0.84458,0.69788,0.42306,0.46527,0.29155,1.19275,0.80168,0.85867,0.000738017,0.000738017,0.000738017
21,810.865,1.14792,0.74242,0.84804,0.77264,0.42645,0.48595,0.3089,1.14008,0.71392,0.85705,0.000729018,0.000729018,0.000729018
22,848.964,1.13678,0.73971,0.84396,0.75298,0.43885,0.48645,0.31011,1.1602,0.72588,0.86176,0.000720019,0.000720019,0.000720019
23,888.112,1.11639,0.70677,0.85484,0.81612,0.41568,0.48512,0.30111,1.19635,0.75391,0.86602,0.00071102,0.00071102,0.00071102
24,926.585,1.10407,0.69511,0.84149,0.79599,0.42787,0.48543,0.30952,1.15184,0.74685,0.85331,0.000702021,0.000702021,0.000702021
25,964.745,1.07912,0.70176,0.84701,0.77542,0.43438,0.49291,0.30933,1.14213,0.72168,0.8523,0.000693022,0.000693022,0.000693022
26,1004.97,1.09065,0.69651,0.83905,0.76879,0.43491,0.48259,0.30912,1.15409,0.70701,0.85377,0.000684022,0.000684022,0.000684022
27,1044.34,1.08588,0.69476,0.83904,0.73197,0.43965,0.48042,0.30948,1.11858,0.72247,0.85693,0.000675023,0.000675023,0.000675023
28,1083.89,1.07105,0.67792,0.83423,0.76979,0.43465,0.49765,0.32046,1.08914,0.70703,0.85239,0.000666024,0.000666024,0.000666024
29,1124.54,1.0838,0.66421,0.83675,0.73107,0.45026,0.49674,0.31644,1.1105,0.68232,0.84967,0.000657025,0.000657025,0.000657025
30,1163.04,1.07221,0.6544,0.8389,0.77871,0.44445,0.50284,0.31756,1.09996,0.6877,0.8559,0.000648026,0.000648026,0.000648026
31,1201.91,1.06589,0.65389,0.83548,0.79441,0.43414,0.50222,0.32063,1.11709,0.68336,0.85518,0.000639027,0.000639027,0.000639027
32,1240.6,1.08391,0.6515,0.83332,0.78194,0.44031,0.51132,0.326,1.09671,0.68289,0.85121,0.000630028,0.000630028,0.000630028
33,1280.47,1.05182,0.63183,0.84073,0.79138,0.44086,0.51205,0.32703,1.09883,0.68178,0.85,0.000621029,0.000621029,0.000621029
34,1318.41,1.03964,0.63166,0.83211,0.80484,0.4446,0.50441,0.32368,1.10233,0.66695,0.85388,0.00061203,0.00061203,0.00061203
